"sample","ks"
151,0.0208048540985482
152,0.015319940244738
153,0.011642021335963
154,0.018537129329058
155,0.0271087615495774
156,0.0343040828271878
157,0.0245184524213382
158,0.0230192638626566
159,0.0211694862793058
160,0.0302763913563068
161,0.0200119056570977
162,0.0262071419409552
163,0.0225710259154199
164,0.035578172657175
165,0.0182932519614084
166,0.0200888980768143
167,0.0244856306262946
168,0.0268447992028713
169,0.0256909743084542
170,0.0304773227931283
171,0.0214511658636349
172,0.0211360113142116
173,0.0206676883879183
174,0.0104561911090656
175,0.0133065435637072
176,0.0373205854134554
177,0.0206876917207185
178,0.0148130802854582
179,0.0141221896644168
180,0.034539387337923
181,0.0191567427683257
182,0.0176408167270971
183,0.0180237376692721
184,0.0298749367139456
185,0.0199821864197945
186,0.0104341466198573
187,0.0242672268906191
188,0.0286680417529157
189,0.0295054874040647
190,0.0139661636685754
191,0.0232192155444021
192,0.0150863503053856
193,0.0172032744394393
194,0.0113996136009273
195,0.0269828630223207
196,0.0221568344570716
197,0.0164701727038766
198,0.0224866036863775
199,0.0139215031663643
200,0.0148712124199632
201,0.013710610886271
202,0.0153540683798827
203,0.0209298545169853
204,0.0170501877088256
205,0.00841095238806727
206,0.0168012482732838
207,0.0178613432654371
208,0.0261406002420485
209,0.0138895794801403
210,0.014613455188738
211,0.0203077100437714
212,0.0147498860830609
213,0.035901736771
214,0.0134258287442014
215,0.0101401384508227
216,0.00856436570370623
217,0.0263032395846524
218,0.0185778708109653
219,0.0249705277426223
220,0.0236676984304079
221,0.021639523776982
222,0.00844957106731009
223,0.011045023909698
224,0.00717392995845271
225,0.0180812166337265
226,0.0148938284329658
227,0.00892687508179935
228,0.0340358748751527
229,0.0144050939425908
230,0.0132538000821198
231,0.0119014931385711
232,0.0133318539031687
233,0.0159681298737202
234,0.0184469918620727
235,0.0182307925753181
236,0.0232101528099498
237,0.00810290106294448
238,0.0176313457613632
239,0.0186993604403803
240,0.0117639191966597
241,0.015633543515291
242,0.0134726936953332
243,0.0307745151661595
244,0.0105856004253444
245,0.0190300277785058
246,0.0105684547115156
247,0.0124152930296387
248,0.0148000985307021
249,0.0168632994280925
250,0.0228007784807248
251,0.0103111057115721
252,0.0109610099119372
253,0.0148640275494064
254,0.012527638278345
255,0.0178384823136655
256,0.015836107877239
257,0.011476361081875
258,0.0160928853533883
259,0.0163026345858931
260,0.0229305143820289
261,0.0232626513527683
262,0.00936882626729886
263,0.0225948666222675
264,0.0123946365267878
265,0.0127425312249984
266,0.0108647489757273
267,0.011808416406358
268,0.0158999552496869
269,0.0106703492394121
270,0.00598075156848585
271,0.0178811833057247
272,0.0222459105227246
273,0.0201649107414549
274,0.0121475749551415
275,0.0112654688017816
276,0.0239683199462049
277,0.0132427778375156
278,0.0147913623812751
279,0.00938393082471943
280,0.0110174274750593
281,0.0104698260338722
282,0.0148946448955292
283,0.0136471717451046
284,0.015377827440474
285,0.0177240959085509
286,0.0197812549829731
287,0.0179837310036717
288,0.0107297877140183
289,0.0111945998512895
290,0.0262811134491877
291,0.0212105543462384
292,0.0104212465113575
293,0.0231283432611099
294,0.0219149982458301
295,0.00433941687753849
296,0.0124077815740566
297,0.0112625295365538
298,0.0107689779170554
299,0.00946900622381244
300,0.0133802701331708
301,0.00860527047812616
302,0.00962413411083433
303,0.0150947598697873
304,0.0117845756995104
305,0.010360746635419
306,0.0160305076135543
307,0.0121746815122422
308,0.0145180923613477
