"sample","ks"
166,0.091280364909303
167,0.194155902440617
168,0.169651818426614
169,0.206791458250035
170,0.095307259834681
171,0.131769630602769
172,0.121182201695621
173,0.172058979526891
174,0.0892648774795799
175,0.122879454268019
176,0.193572471868855
177,0.140733245750749
178,0.0975389837700222
179,0.169672218096956
180,0.171291951922057
181,0.153193364395231
182,0.167199778051587
183,0.175486124144234
184,0.174143825835774
185,0.146249316611044
186,0.171132834493395
187,0.193050240308117
188,0.121475956948536
189,0.138154727419605
190,0.152128501603414
191,0.138901355354097
192,0.135841404802898
193,0.125988364028037
194,0.212413607396104
195,0.160288369739945
196,0.170900278251503
197,0.09596820915374
198,0.138207766562492
199,0.162365056180692
200,0.196987376683993
201,0.143156726587298
202,0.103928160520926
203,0.0900931040954377
204,0.135967882759015
205,0.159896696069391
206,0.0724759487886675
207,0.102724579970788
208,0.0958131716591459
209,0.197836002970192
210,0.0704686212270809
211,0.123311927279255
212,0.124886781829606
213,0.157004022814991
214,0.0690814436438706
215,0.129493027392677
216,0.123022251960408
217,0.166595947809483
218,0.103218251993048
219,0.161398111806513
220,0.153242323604051
221,0.129187032337557
222,0.154001191340748
223,0.0954949368018213
224,0.155600525495508
225,0.109929743535344
226,0.106241483137632
227,0.100713172475133
228,0.114054556878361
229,0.0942709565813416
230,0.0868454765770985
231,0.126608514006414
232,0.0830715375639529
233,0.127677456732299
234,0.0603340650015095
235,0.130386532953627
236,0.107208427511811
237,0.126535075193185
238,0.111100684612937
239,0.159790617783617
240,0.11579668872551
241,0.080705175804359
242,0.0778533018906414
243,0.12341800556503
244,0.098595686693703
245,0.104731907532374
246,0.0917291576568122
247,0.0411338952762523
248,0.1104111757554
249,0.115649811099053
250,0.106053806170492
251,0.102434904651941
252,0.107530742303204
253,0.108868960677595
254,0.139917258937096
255,0.0854501391257517
256,0.0957560525821902
257,0.0817618787280397
258,0.0724759487886675
259,0.0863722042251797
260,0.106571957797162
261,0.085009506246379
262,0.073206256986887
263,0.145294612039069
264,0.0814518037388516
265,0.0845362338944602
266,0.0943729549330482
267,0.0812967662442574
268,0.129493027392677
269,0.0749769483725143
270,0.0876573834566833
271,0.0812274073650969
272,0.129864301392889
273,0.0575923493076352
274,0.07082357549102
275,0.103724163817513
276,0.0961232466483341
277,0.0892077584026242
278,0.0498241548416577
279,0.0786121696273388
280,0.0848911881583993
281,0.0615172458813065
282,0.0409380584409755
283,0.0620149978376349
284,0.0619048396177917
285,0.0855276578730487
286,0.0388736118024332
287,0.0858866920710561
288,0.0606726995291756
289,0.0859519710161483
290,0.0502035887100064
291,0.0822065915414806
292,0.0745607950975512
293,0.0447079175200528
294,0.118950477760279
295,0.0724025099754387
296,0.0962986838132695
297,0.0612071708921183
298,0.0480493835219622
299,0.0404851857593981
300,0.053255379393069
301,0.0751279059330401
302,0.0428393077167873
303,0.0771760328353094
304,0.092785860580493
305,0.1345684653736
306,0.0415174090786693
307,0.0715171642826252
308,0.0441367267504957
309,0.092985777349838
310,0.0282943427634209
311,0.0939486417899486
312,0.0684735334676991
313,0.0823453092998017
314,0.0445528800254588
315,0.0879796982480763
316,0.0739406451191748
317,0.0904643780956499
318,0.0475924309063165
319,0.0515377271503292
320,0.102239067816664
321,0.0494243213029677
322,0.128040570864375
323,0.108836321205049
324,0.0556462207570725
325,0.043651214596372
326,0.127669296864163
327,0.0710112524581602
328,0.0482329805550342
329,0.0569150802523031
330,0.0520436389747941
331,0.081843477409405
332,0.0364909303065662
333,0.0878287406875505
334,0.0378577082194351
335,0.093924162185539
336,0.0288247341922954
337,0.0593630406932623
338,0.0855480575433901
339,0.0801339850348018
340,0.0398446361106804
341,0.0395264012533557
342,0.0410604564630235
343,0.0516315656338993
344,0.0709541333812045
345,0.0875676249071815
346,0.0451689500697669
347,0.0780899380666008
348,0.103287610872208
349,0.0805256587053553
350,0.064752633597441
351,0.0281597049391682
352,0.0468131634992778
353,0.0354342273828854
354,0.0492366443358275
355,0.0378005891424794
356,0.0247937593328492
357,0.0557645388450522
358,0.0244428850029784
359,0.045878858597645
360,0.0335574577114834
361,0.0477556282690471
362,0.0345978408988911
363,0.0779267407038702
364,0.0395345611214922
365,0.0529534642720173
366,0.0374333950763356
367,0.0344713629427748
368,0.0849850266419694
369,0.0269642842571664
370,0.0532268198545911
371,0.0395916801984479
372,0.0591100847810299
373,0.04958343873163
374,0.060909335705135
375,0.0463929302902465
376,0.0650259891800148
377,0.030187432171096
378,0.0827125033659456
379,0.0537776109538069
380,0.0323008380184576
381,0.0427781087057633
382,0.0376945108567045
383,0.0657154980375516
384,0.031293094303596
385,0.0434839372995732
386,0.0770699545495344
387,0.0716395623046731
388,0.016107579701512
389,0.0628065050468784
390,0.066580444060024
391,0.0393754436928299
392,0.0532880188656151
393,0.058742890714886
394,0.0550097510424231
395,0.0222519604083199
396,0.0617334823869246
397,0.0791874403309642
398,0.0397793571655882
399,0.037441554944472
400,0.035980938548033
401,0.0852135029497923
402,0.0403872673417597
403,0.0235085801013455
404,0.0330270662826088
405,0.0819699553655212
406,0.0269438845868251
407,0.0306484647208101
408,0.025189512937471
409,0.102255387552937
410,0.0300038351380241
411,0.0387144943737709
412,0.0648546319491476
413,0.0574781111537237
414,0.0603095853971
415,0.0311910959518894
416,0.0411379752103205
417,0.0504606245563071
418,0.0681756982807157
419,0.0296284812037437
420,0.0690651239075976
421,0.0336961754698044
422,0.0679717015773025
423,0.0502851873913717
424,0.061786521529812
425,0.0304607877536698
426,0.0485348956760858
427,0.036164535581105
428,0.0557726987131888
429,0.0327455508318985
430,0.0452464688170638
431,0.0486980930388164
432,0.0360298977568522
433,0.0725779471403741
434,0.0305627861053765
435,0.0397507976271103
436,0.0627820254424688
437,0.0376006723731344
438,0.0496038384019714
439,0.0363236530097673
440,0.0542345635694527
441,0.0392734453411233
442,0.0538020905582166
443,0.0323497972272768
444,0.051611165963558
445,0.0610806929360021
446,0.0690732837757342
447,0.0251283139264469
448,0.0471150786203295
449,0.0896687909523382
450,0.0398976752535679
451,0.0371763592300348
452,0.0403179084625992
453,0.0673433917307896
454,0.0236146583871205
455,0.0997788675735
456,0.0310319785232271
457,0.0654911016637971
458,0.0355158260642508
459,0.119032076441645
460,0.0537653711516021
461,0.0531778606457719
462,0.0477719480053202
463,0.0744547168117763
464,0.0527576274367406
465,0.0428760271234017
466,0.0498649541823403
467,0.075911253274147
468,0.0702931840621455
469,0.0186044993512904
470,0.0679227423684833
471,0.0401424712976637
472,0.0234351412881168
473,0.0393632038906251
474,0.0503586262046005
475,0.0809744514528645
476,0.0565846055927736
477,0.0475312318952925
478,0.0438511313657171
479,0.0743037592512504
480,0.0419376422877006
481,0.0742058408336121
482,0.0344754428768432
483,0.0587918499237052
484,0.0464663691034753
485,0.0532431395908642
486,0.0261523773775815
487,0.0261360576413084
488,0.0375843526368613
489,0.045878858597645
490,0.059403840033945
491,0.0257403040366868
492,0.0782735350996727
493,0.0532145800523863
494,0.0451689500697669
495,0.0222397206061151
496,0.0214686130672128
497,0.0591549640557808
498,0.0438470514316489
499,0.0363522125482452
500,0.0687876883909556
501,0.0753686220430677
502,0.0263686138831996
503,0.0726799454920808
504,0.0668089203678468
505,0.0563112500101998
506,0.0281964243457825
507,0.0620598771123858
508,0.0414766097379866
509,0.0477923476756615
510,0.0374007556037894
511,0.0824758671899862
512,0.0347936777341677
513,0.0242552080358381
514,0.0528922652609934
515,0.0456340625535491
516,0.0577106673956148
517,0.0255689468058196
518,0.0584695351323122
519,0.0382616216921934
520,0.0511093340731613
521,0.0251568734649249
522,0.0522517156122756
523,0.0569395598567127
524,0.0448425553443056
525,0.0712478886341196
526,0.0281025858622124
527,0.0748055911416471
528,0.0190451322306631
529,0.0283106624996939
530,0.0381065841975994
531,0.047845386818549
532,0.042835227782719
533,0.0591182446491665
534,0.0477964276097298
535,0.0317418870511052
536,0.0247855994647126
537,0.0451444704653573
538,0.113785281229855
539,0.0211626180120929
540,0.0363277329438356
541,0.046862122708097
542,0.0456830217623683
543,0.0418478837381988
544,0.0551851882073585
545,0.059648636078041
546,0.0391755269234849
547,0.0567192434170264
548,0.0599056719243417
549,0.0731368981077266
550,0.0217215689794454
551,0.0903950192164894
552,0.0284534601920833
